bat_current,bat_status,bat_volt,load_current,load_status,load_volt,pv_current,pv_volt,ft,hour,minute
5.7,1,26.3,4.28,1,32.7,0.0,0.0,0,0,2
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,2
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,2
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,2
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,2
6.35,3,23.6,4.2,LOAD ON AC,33.3,0.0,9.3,1,0,5
0.0,2,12.2,2.85,1,34.0,0.0,0.0,0,0,10
2.63,1,13.0,2.63,1,13.0,0.0,0.0,0,0,12
0.0,2,13.0,4.28,1,14.9,0.0,0.0,0,0,12
5.7,1,26.3,4.28,1,32.7,0.0,0.0,0,0,14
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,15
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,15
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,15
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,15
6.41,3,23.4,4.22,LOAD ON AC,33.2,0.0,9.1,1,0,20
5.7,1,26.3,4.27,1,32.8,0.0,0.0,0,0,26
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,26
6.38,3,23.5,4.22,LOAD ON AC,33.2,0.0,9.1,1,0,35
0.0,2,14.1,3.0,1,13.5,0.0,0.0,0,0,35
5.68,1,26.4,4.28,1,32.7,0.0,0.0,0,0,38
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,38
5.59,1,26.8,4.18,1,33.5,0.0,0.0,0,0,38
2.64,1,13.0,2.64,1,13.0,0.0,0.0,0,0,42
0.0,2,13.3,3.0,1,13.1,0.0,0.0,0,0,43
6.41,3,23.4,4.22,LOAD ON AC,33.2,0.0,9.1,1,0,50
5.7,1,26.3,4.28,1,32.7,0.0,0.0,0,0,51
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,52
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,52
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,52
5.59,1,26.8,4.19,1,33.4,0.0,0.0,0,0,52
0.0,2,13.3,3.25,1,12.7,0.0,0.0,0,0,58
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,3
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,3
5.7,1,26.3,4.28,1,32.7,0.0,0.0,0,1,3
6.41,3,23.4,4.22,LOAD ON AC,33.2,0.0,9.2,1,1,6
0.0,2,13.2,3.31,1,29.4,0.0,0.0,0,1,13
0.0,2,13.2,3.31,1,29.4,0.0,0.0,0,1,13
2.65,1,12.9,2.65,1,12.9,0.0,0.0,0,1,13
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,15
5.72,1,26.2,4.28,1,32.7,0.0,0.0,0,1,15
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,15
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,15
6.35,3,23.6,4.22,LOAD ON AC,33.2,0.0,9.2,1,1,21
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,27
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,27
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,27
5.61,1,26.7,4.19,1,33.4,0.0,0.0,0,1,27
5.72,1,26.2,4.28,1,32.7,0.0,0.0,0,1,27
0.0,2,14.0,3.0,1,13.4,0.0,0.0,0,1,36
6.38,3,23.5,4.22,LOAD ON AC,33.2,0.0,9.0,1,1,36
5.63,1,26.6,4.19,1,33.4,0.0,0.0,0,1,39
5.72,1,26.2,4.28,1,32.7,0.0,0.0,0,1,39
0.0,2,13.3,3.0,1,13.1,0.0,0.0,0,1,44
2.65,1,12.9,2.65,1,12.9,0.0,0.0,0,1,44
0.0,2,14.0,2.6,1,15.8,0.0,0.0,0,1,48
5.74,1,26.1,4.28,1,32.7,0.0,0.0,0,1,51
5.63,1,26.6,4.19,1,33.4,0.0,0.0,0,1,51
5.63,1,26.6,4.19,1,33.4,0.0,0.0,0,1,51
5.63,1,26.6,4.19,1,33.4,0.0,0.0,0,1,51
